"KPF","KPL","PNV","First Sentence in First Paragraph","First sentence in last Paragraph","First sentence in any of other paragraphs","Sentence location in other paragraphs","Sentence location in first and last paragraph","cosine Similarity with title","common keyphrases with title","sentence centrality","sentence length is short/long","sentence length equation","cue phrases","strong words","number scores","sentence begins with weak word","weak word score in other location in sentence","Label"
"0.4166666666666667","1.0","0.0","1.0","0.0","0.0","0.0","0.0","0.36024275931962646","1.0","0.6","0.0","0.5555555555555556","0.0","0","0.1111111111111111","0.0","0.0","0"
"0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.7071067811865475","0.0","0.0","0.6","0.0","0.5","0.0","0","0.0","0.0","0.0","0"
"0.08333333333333333","1.0","0.0","0.0","0.0","0.0","0.0","0.5773502691896258","0.0","0.0","0.4","0.0","0.2777777777777778","0.0","0","0.0","0.0","0.0","1"
"0.16666666666666666","0.0","0.0","0.0","0.0","0.0","0.0","0.5","0.0","0.0","0.6","0.0","0.2777777777777778","0.0","0","0.1111111111111111","0.0","0.0","0"
"0.08333333333333333","1.0","0.0","0.0","0.0","1.0","0.0","0.0","0.0","0.0","1.0","0.0","0.5555555555555556","0.0","0","0.0","0.0","0.0","0"
"0.08333333333333333","1.0","0.0","0.0","0.0","0.0","0.4082482904638631","0.0","0.0","0.0","0.4","0.0","0.2777777777777778","0.0","0","0.0","0.0","0.0","0"
"0.45833333333333337","0.0","0.0","0.0","0.0","1.0","0.0","0.0","0.05421858944897937","1.0","0.8","0.0","0.6666666666666666","0.0","0","0.0","0.0","0.0","1"
"0.20833333333333334","0.0","0.0","0.0","0.0","0.0","0.30151134457776363","0.0","0.0","0.0","0.6","0.0","0.3333333333333333","0.0","0","0.0","0.0","0.0","0"
"0.0","0.0","0.0","0.0","0.0","0.0","0.2886751345948129","0.0","0.0","0.0","0.6","0.0","0.16666666666666666","0.0","0","0.0","0.0","0.0","0"
"0.375","1.0","1.0","0.0","0.0","1.0","0.0","0.0","0.04913110322993651","1.0","0.4","0.0","0.8333333333333334","0.0","0","0.4444444444444444","0.0","0.0","0"
